Bairro,Trecho da rua,"Situação locacional (marquise, sombra de árvore; Céu livre, etc)",Data e Hora,Clima,Temperatura (°C),Isolamento da Roupa,Você é:,Você faz utilização de remédios de uso contínuo,"Se sim, qual ou quais comorbidade(s)?",Faixa Etária,Gênero,Como você se identifica em relação à raça/cor:,Nível de escolarização,Com que frequência você caminha pelo seu bairro ou por outras áreas da cidade?,Quais são os principais motivos para caminhar? ,Quais barreiras você encontra ao caminhar na sua região?,Você sente que há infraestrutura adequada para pedestres na sua região?,"De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Largura da calçada]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Pavimentação]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Espaço livre para circulação de pedestres]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [O quanto ter árvores e sombras no seu percurso de caminhada é importante ?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Você se sente seguro(a) caminhando na sua região durante o dia?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Você se sente seguro(a) caminhando na sua região durante a noite?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [A infraestrutura para pedestres é acessível para idosos, pessoas com deficiência ou mobilidade reduzida ?]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [A infraestrutura para pedestres é acessível para mulheres com crianças ?]",Há áreas onde você evita caminhar por questões de segurança?,Quais dificuldades você encontra ao caminhar por aqui?,Presença e Distribuição [Bancos disponíveis ao longo do trecho?],Presença e Distribuição [Lixeiras em pontos estratégicos?],Presença e Distribuição [Ponto de ônibus acessível e em bom estado?],Presença e Distribuição [Placas ou sinalização para pedestres?],"De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Estado geral dos bancos]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Iluminação pública funcionando]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Faixas de pedestre visíveis]","De 01 a 05, sendo 01 muito ruim e 05 muito bom, responda: [Placas e semáforos para pedestres legíveis]", [Rampas para cadeirantes em esquinas/faixas], [Bancos com sombra/proteção climática]," [Sinalização adequada para idosos, crianças e pessoas com deficiência]", [Existência de paradas de transporte público], [Paradas de transporte público/proteção climática], [Você utiliza os bancos/mobiliário urbano daqui?], [Você acha que a sinalização ajuda a caminhar com segurança?],"Neste exato momento, quanto às condições de tempo, você sente?","Como você preferia estar se sentindo, nesse momento?",Como você classifica o conforto térmico nesse trecho?,O que você acha do sol neste momento?,O que você acha do vento neste momento?,O que você acha da umidade neste momento?,"Em relação às condições atmosféricas, você está se sentindo confortável?",Nota geral de caminhabilidade do trecho (0 a 10) [Nota]
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 11:05,Nublado,22,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Feminino,Parda,Educação Superior incompleta,Diariamente,Transporte público,Insegurança,Não,3,3,3,5,3,1,3,1,Sim,"Calçadas ruins, Sensação de insegurança, Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados",Não,Não,Não,Parcial,1,1,5,5,Não atende,Não,Não,Sim,Não,Não,Sim,Um pouco de frio,Um pouco mais aquecido,Confortável,Você prefere mais,Pouco vento,Úmido,Não,3
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 11:15,Nublado,26,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Masculino,Parda,Educação Superior incompleta,Diariamente,Estudo,Poluição,Não,4,4,4,5,2,1,3,3,Sim,Calçadas ruins,Não,Não,Parcial,Parcial,2,4,2,4,Atende parcialmente,Sim,Não,Não,Sim,Sim,Não,Um pouco de frio,Assim mesmo,Um pouco desconfortável,OK,Pouco vento,Seco,Sim,4
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 11:30,Nublado,22,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Feminino,Parda,Educação Superior incompleta,Esporadicamente,Trabalho,Insegurança,Não,3,4,3,5,5,1,2,2,Sim,"Calçadas ruins, Falta de sombra, Sensação de insegurança, Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados",Não,Não,Não,Sim,1,1,2,2,Não atende,Parcial,Não,Não,Não,Sim,Não,Muito frio,Mais aquecido,Um pouco desconfortável,Você prefere mais,Pouco vento,Úmido,Mais ou Menos,4
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 11:00,Nublado,21°,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Feminino,Parda,Educação Superior incompleta,Esporadicamente,Trabalho,Falta de sombra,Não,3,3,3,5,5,1,2,2,Sim,"Calçadas ruins, Falta de sombra, Sensação de insegurança, Trânsito perigoso, Excesso de carros e/ou motos estacionados",Não,Não,Não,Não,1,1,3,1,Não atende,Parcial,Não,Não,Não,Sim,Não,Muito frio,Bem mais aquecido,Um pouco desconfortável,Você prefere mais,Pouco vento,Úmido,Não,5
Fundão,CT | CCMN (lado CCMN),Ceu livre,16 de junho 11:30,Nublado,22C ,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Feminino,Parda,Educação Superior incompleta,Esporadicamente,Trabalho,Insegurança,Não,3,3,3,5,5,1,2,2,Sim,"Calçadas ruins, Falta de sombra, Sensação de insegurança, Trânsito perigoso, Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados, Construções (residências, lojas, etc)",Não,Não,Não,Não,1,1,3,1,Não atende,Parcial,Não,Não,Não,Sim,Não,Muito frio,Mais aquecido,Um pouco desconfortável,Você prefere mais,Pouco vento,Úmido,Não,5
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 11:25,Nublado,26,Acima de 1 clo (vestimenta de inverno),Estudante,Não,,18–29,Feminino,Branca,Educação Superior incompleta,Diariamente,Transporte público,Insegurança,Mais ou menos,2,3,2,5,1,1,2,2,Sim,Calçadas ruins,Parcial,Parcial,Parcial,Parcial,2,3,1,1,Atende parcialmente,Parcial,Não,Parcial,Não,Sim,Parcial,Frio,Mais aquecido,Um pouco desconfortável,OK,Pouco vento,OK,Sim,7
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 11:35,Nublado,22°,Acima de 1 clo (vestimenta de inverno),Trabalhador da região,Não,,18–29,Feminino,Preta,Ensino Fundamental incompleto,Esporadicamente,Trabalho,Insegurança,Sim,1,4,2,1,5,5,1,1,Não,"Calçadas ruins, Falta de sombra, Sensação de insegurança",Não,Sim,Não,Não,2,1,2,1,Não atende,Sim,Não,Sim,Não,Parcial,Sim,Nem frio nem calor,Assim mesmo,Confortável,OK,OK,OK,Sim,10
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 11:30,Nublado,21°,Acima de 1 clo (vestimenta de inverno),Trabalhador da região,Não,,18–29,Feminino,Preta,Ensino Fundamental incompleto,Esporadicamente,Trabalho,Insegurança,Sim,5,4,4,5,1,1,5,5,Sim,"Sensação de insegurança, Trânsito perigoso",Sim,Parcial,Não,Parcial,5,1,4,5,Atende plenamente,Sim,Parcial,Não,Não,Não,Parcial,Um pouco de frio,Um pouco mais aquecido,Confortável,OK,OK,Úmido,Sim,10
Fundão,CT | CCMN (lado CCMN),Céu livre,16 de junho 11:35,Nublado,26,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Masculino,Branca,Educação Superior incompleta,,Lazer,Calçadas ruins,Não,2,3,3,5,4,4,2,3,Sim,,Não,Não,Parcial,Não,3,3,1,1,Atende parcialmente,Não,Não,Não,Parcial,Parcial,Não,Um pouco de frio,Assim mesmo,Confortável,OK,OK,Úmido,Sim,7
Fundão,CT | CCMN (lado CCMN),Nublado,16 de junho 11:40,Nublado,22°,Entre 0.5 e 1 clo (vestimenta de meia estação),Estudante,Não,,18–29,Masculino,Parda,Ensino Médio completo,Diariamente,Estudo,Poluição,Não,3,4,4,5,3,2,2,2,Sim,"Calçadas ruins, Falta de sombra, Falta de bancos ou locais para descanso, Excesso de carros e/ou motos estacionados",Não,Não,Sim,Sim,2,3,3,3,Não atende,Parcial,Não,Sim,Sim,Não,Sim,Um pouco de frio,Assim mesmo,Confortável,OK,OK,OK,Sim,5
