id_resposta,bairro,trecho,situacao_locacional,data,hora,data_hora_iso,mes,periodo_dia,clima,temperatura_c,isolamento_roupa,clo_ordinal,clo_ref,perfil_respondente,usa_remedio_continuo,comorbidade,faixa_etaria,faixa_etaria_ordem,genero,raca_cor,raca_cor_agrupada,escolaridade,escolaridade_ordem,freq_caminhada,freq_caminhada_ordem,motivo_caminhar,barreira_principal,infra_adequada_pedestres,infra_adequada_ordem,nota_largura_calcada,nota_pavimentacao,nota_espaco_livre,nota_import_arvores_sombra,nota_seguranca_dia,nota_seguranca_noite,nota_acess_pcd_idosos,nota_acess_mulher_crianca,nota_estado_bancos,nota_iluminacao_publica,nota_faixas_pedestre,nota_placas_semaforos,evita_areas_inseguranca,dificuldades,dificuldades_n,dif_construcoes,dif_falta_bancos,dif_carros_estacionados,dif_inseguranca,dif_transito_perigoso,dif_calcadas_ruins,dif_falta_sombra,presenca_bancos,presenca_bancos_ord,presenca_lixeiras,presenca_lixeiras_ord,presenca_ponto_onibus,presenca_ponto_onibus_ord,presenca_sinal_pedestre,presenca_sinal_pedestre_ord,rampas_cadeirantes,rampas_cadeirantes_ord,bancos_com_sombra,bancos_com_sombra_ord,sinalizacao_inclusiva,sinalizacao_inclusiva_ord,existe_parada_transporte,existe_parada_transporte_ord,parada_com_protecao_climatica,parada_com_protecao_climatica_ord,utiliza_mobiliario,utiliza_mobiliario_ord,sinalizacao_ajuda_seguranca,sinalizacao_ajuda_seguranca_ord,sensacao_termica,sensacao_termica_escala,preferencia_termica,preferencia_termica_escala,conforto_termico,conforto_termico_escala,percepcao_sol,percepcao_vento,percepcao_umidade,confortavel_cond_atmosfericas,confortavel_cond_atm_ordem,idx_infra_fisica,idx_seguranca,idx_acessibilidade,nota_caminhabilidade,obs_tratamento
R021,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,11:05,2026-06-16T11:05,Junho,Manhã,Nublado,26,"0,5–1 clo (meia estação)",2,0.75,Estudante,Não,,18-29,2,Feminino,Parda,Preta/Parda,Educação Superior incompleta,5,Alguns dias da semana,3,Estudo,Insegurança,Não,0,1,2,1,5,3,3,1,1,3,2,2,3,Sim,Calçadas ruins,1,0,0,0,0,0,1,0,Não,0,Não,0,Não,0,Parcial,1,Parcial,1,Não,0,Não,0,Parcial,1,Parcial,1,Sim,2,Não,0,Um pouco de frio,-1,Assim mesmo,0,Muito desconfortável,3,OK,Pouco vento,Úmido,Sim,2,2,3,1,5,
R022,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,11:05,2026-06-16T11:05,Junho,Manhã,Nublado,22,"0,5–1 clo (meia estação)",2,0.75,Estudante,Não,,18-29,2,Feminino,Parda,Preta/Parda,Educação Superior incompleta,5,Diariamente,4,Transporte público,Insegurança,Não,0,3,3,3,5,3,1,3,1,1,1,5,5,Sim,Falta de bancos ou locais para descanso; Excesso de carros e/ou motos estacionados; Sensação de insegurança; Calçadas ruins,4,0,1,1,1,0,1,0,Não,0,Não,0,Não,0,Parcial,1,Não,0,Não,0,Não,0,Sim,2,Não,0,Não,0,Sim,2,Um pouco de frio,-1,Um pouco mais aquecido,1,Confortável,0,Você prefere mais,Pouco vento,Úmido,Não,0,3,2,2,3,
R023,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,11:15,2026-06-16T11:15,Junho,Manhã,Nublado,26,Acima de 1 clo (inverno),3,1.25,Estudante,Não,,18-29,2,Masculino,Parda,Preta/Parda,Educação Superior incompleta,5,Diariamente,4,Estudo,Poluição,Não,0,4,4,4,5,2,1,3,3,2,4,2,4,Sim,Calçadas ruins,1,0,0,0,0,0,1,0,Não,0,Não,0,Parcial,1,Parcial,1,Parcial,1,Sim,2,Não,0,Não,0,Sim,2,Sim,2,Não,0,Um pouco de frio,-1,Assim mesmo,0,Um pouco desconfortável,1,OK,Pouco vento,Seco,Sim,2,3.43,1.5,3,4,
R024,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,11:30,2026-06-16T11:30,Junho,Manhã,Nublado,22,Acima de 1 clo (inverno),3,1.25,Estudante,Não,,18-29,2,Feminino,Parda,Preta/Parda,Educação Superior incompleta,5,Esporadicamente,1,Trabalho,Insegurança,Não,0,3,4,3,5,5,1,2,2,1,1,2,2,Sim,Falta de bancos ou locais para descanso; Excesso de carros e/ou motos estacionados; Sensação de insegurança; Calçadas ruins; Falta de sombra,5,0,1,1,1,0,1,1,Não,0,Não,0,Não,0,Sim,2,Não,0,Parcial,1,Não,0,Não,0,Não,0,Sim,2,Não,0,Muito frio,-3,Mais aquecido,2,Um pouco desconfortável,1,Você prefere mais,Pouco vento,Úmido,Mais ou menos,1,2.29,3,2,4,
R025,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,11:00,2026-06-16T11:00,Junho,Manhã,Nublado,21,Acima de 1 clo (inverno),3,1.25,Estudante,Não,,18-29,2,Feminino,Parda,Preta/Parda,Educação Superior incompleta,5,Esporadicamente,1,Trabalho,Falta de sombra,Não,0,3,3,3,5,5,1,2,2,1,1,3,1,Sim,Excesso de carros e/ou motos estacionados; Sensação de insegurança; Trânsito perigoso; Calçadas ruins; Falta de sombra,5,0,0,1,1,1,1,1,Não,0,Não,0,Não,0,Não,0,Não,0,Parcial,1,Não,0,Não,0,Não,0,Sim,2,Não,0,Muito frio,-3,Bem mais aquecido,3,Um pouco desconfortável,1,Você prefere mais,Pouco vento,Úmido,Não,0,2.14,3,2,5,
R026,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,11:30,2026-06-16T11:30,Junho,Manhã,Nublado,22,Acima de 1 clo (inverno),3,1.25,Estudante,Não,,18-29,2,Feminino,Parda,Preta/Parda,Educação Superior incompleta,5,Esporadicamente,1,Trabalho,Insegurança,Não,0,3,3,3,5,5,1,2,2,1,1,3,1,Sim,"Construções (residências, lojas, etc); Falta de bancos ou locais para descanso; Excesso de carros e/ou motos estacionados; Sensação de insegurança; Trânsito perigoso; Calçadas ruins; Falta de sombra",7,1,1,1,1,1,1,1,Não,0,Não,0,Não,0,Não,0,Não,0,Parcial,1,Não,0,Não,0,Não,0,Sim,2,Não,0,Muito frio,-3,Mais aquecido,2,Um pouco desconfortável,1,Você prefere mais,Pouco vento,Úmido,Não,0,2.14,3,2,5,
R027,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,11:25,2026-06-16T11:25,Junho,Manhã,Nublado,26,Acima de 1 clo (inverno),3,1.25,Estudante,Não,,18-29,2,Feminino,Branca,Branca,Educação Superior incompleta,5,Diariamente,4,Transporte público,Insegurança,Mais ou menos,1,2,3,2,5,1,1,2,2,2,3,1,1,Sim,Calçadas ruins,1,0,0,0,0,0,1,0,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Parcial,1,Não,0,Parcial,1,Não,0,Sim,2,Parcial,1,Frio,-2,Mais aquecido,2,Um pouco desconfortável,1,OK,Pouco vento,OK,Sim,2,2,1,2,7,
R028,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,11:35,2026-06-16T11:35,Junho,Manhã,Nublado,22,Acima de 1 clo (inverno),3,1.25,Trabalhador da região,Não,,18-29,2,Feminino,Preta,Preta/Parda,Ensino Fundamental incompleto,1,Esporadicamente,1,Trabalho,Insegurança,Sim,2,1,4,2,1,5,5,1,1,2,1,2,1,Não,Sensação de insegurança; Calçadas ruins; Falta de sombra,3,0,0,0,1,0,1,1,Não,0,Sim,2,Não,0,Não,0,Não,0,Sim,2,Não,0,Sim,2,Não,0,Parcial,1,Sim,2,Nem frio nem calor,0,Assim mesmo,0,Confortável,0,OK,OK,OK,Sim,2,1.86,5,1,10,
R029,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,11:30,2026-06-16T11:30,Junho,Manhã,Nublado,21,Acima de 1 clo (inverno),3,1.25,Trabalhador da região,Não,,18-29,2,Feminino,Preta,Preta/Parda,Ensino Fundamental incompleto,1,Esporadicamente,1,Trabalho,Insegurança,Sim,2,5,4,4,5,1,1,5,5,5,1,4,5,Sim,Sensação de insegurança; Trânsito perigoso,2,0,0,0,1,1,0,0,Sim,2,Parcial,1,Não,0,Parcial,1,Sim,2,Sim,2,Parcial,1,Não,0,Não,0,Não,0,Parcial,1,Um pouco de frio,-1,Um pouco mais aquecido,1,Confortável,0,OK,OK,Úmido,Sim,2,4,1,5,10,
R030,Fundão,CT/CCMN (lado CCMN),Céu livre,2026-06-16,11:35,2026-06-16T11:35,Junho,Manhã,Nublado,26,"0,5–1 clo (meia estação)",2,0.75,Estudante,Não,,18-29,2,Masculino,Branca,Branca,Educação Superior incompleta,5,,,Lazer,Calçadas ruins,Não,0,2,3,3,5,4,4,2,3,3,3,1,1,Sim,,0,0,0,0,0,0,0,0,Não,0,Não,0,Parcial,1,Não,0,Parcial,1,Não,0,Não,0,Não,0,Parcial,1,Parcial,1,Não,0,Um pouco de frio,-1,Assim mesmo,0,Confortável,0,OK,OK,Úmido,Sim,2,2.29,4,2.5,7,
R031,Fundão,CT/CCMN (lado CCMN),,2026-06-16,11:40,2026-06-16T11:40,Junho,Manhã,Nublado,22,"0,5–1 clo (meia estação)",2,0.75,Estudante,Não,,18-29,2,Masculino,Parda,Preta/Parda,Ensino Médio completo,4,Diariamente,4,Estudo,Poluição,Não,0,3,4,4,5,3,2,2,2,2,3,3,3,Sim,Falta de bancos ou locais para descanso; Excesso de carros e/ou motos estacionados; Calçadas ruins; Falta de sombra,4,0,1,1,0,0,1,1,Não,0,Não,0,Sim,2,Sim,2,Não,0,Parcial,1,Não,0,Sim,2,Sim,2,Não,0,Sim,2,Um pouco de frio,-1,Assim mesmo,0,Confortável,0,OK,OK,OK,Sim,2,3.14,2.5,2,5,situacao_locacional invalida ('Nublado') -> nulo
